InstrumentID,Ticker,PriceSource
2121,WOSG.L,LSE PLC
2122,HBR.L,LSE PLC
2123,DOCS.L,LSE PLC
2124,VVO.L,LSE PLC
2125,FAN.L,LSE PLC
2126,LIO.L,LSE PLC
2127,LXI.L,LSE PLC
2128,KNOS.L,LSE PLC
2129,GROW.L,LSE PLC
2130,AJB.L,LSE PLC
2131,SRE.L,LSE PLC
2132,CHRY.L,LSE PLC
2133,IHP.L,LSE PLC
2134,DEC.L,LSE PLC
2135,ENOG.L,LSE PLC
2136,EDV.L,LSE PLC
2137,BPT.L,LSE PLC
2138,BIFF.L,LSE PLC
2139,BYIT.L,LSE PLC
2140,NETW.L,LSE PLC
2141,PHLL.L,LSE PLC
2142,OXIG.L,LSE PLC
2143,PFD.L,LSE PLC
2144,ATG.L,LSE PLC
2145,HTWS.L,LSE PLC
2146,JTC.L,LSE PLC
2147,N91.L,LSE PLC
2148,MGNS,LSE PLC
2149,SEIT.L,LSE PLC
2151,BTRW.L,LSE PLC
2152,CRDA.L,LSE PLC
2153,DCC.L,LSE PLC
2154,DLG.L,LSE PLC
2155,INF.L,LSE PLC
2156,MCRO.L,LSE PLC
2157,FLTR.L,LSE PLC
2158,RTO.L,LSE PLC
2159,SGRO.L,LSE PLC
2160,SWR.L,LSE PLC
2161,SMT.L,LSE PLC
2162,CA166.L,LSE PLC
2163,TUI.L,LSE PLC
2164,TW.L,LSE PLC
2165,QLT.L,LSE PLC
2166,MDC.L,LSE PLC
2167,AML.L,LSE PLC
2168,FEVR.L,LSE PLC
2169,ASC.L,LSE PLC
2170,CA167.L,LSE PLC
2171,SHEL.L,LSE PLC
2172,RYyA.L.OLD,LSE PLC
2173,AVST.L,LSE PLC
2175,SMSN.L,LSE PLC
2176,TRN.L,LSE PLC
2177,IPO91.L,LSE PLC
2178,IPO92.L,LSE PLC
2179,IPO93.L,LSE PLC
2180,IPO94.L,LSE PLC
2181,IPO95.L,LSE PLC
2182,IPO96.L,LSE PLC
2183,IPO97.L,LSE PLC
2184,IPO98.L,LSE PLC
2185,IPO99.L,LSE PLC
2186,IPO100.L,LSE PLC
2187,CA.Ops31.L,LSE PLC
2188,CA.Ops32.L,LSE PLC
2189,CA.Ops33.L,LSE PLC
2190,CA.Ops34.L,LSE PLC
2191,CA.Ops35.L,LSE PLC
2192,PSQ,NASDAQ
2193,ICE,NASDAQ
2194,BMO,NASDAQ
2195,EXE,NASDAQ
2196,ABBNY,NASDAQ
2197,FIBK,NASDAQ
2198,CA168.L,LSE PLC
2199,VRN,NASDAQ
2200,CA169.L,LSE PLC
2201,UMBF,NASDAQ
2202,VET,NASDAQ
2203,DTG.DE,Xetra
2204,UCB,NASDAQ
2205,CBSH,NASDAQ
2206,CUBI,NASDAQ
2207,ERF,NASDAQ
2208,FFIN,NASDAQ
2209,UBSI,NASDAQ
2211,AKSO.OL,Xignite
2212,BWLPG.OL,Xignite
2213,DNB.OL,Xignite
2214,DNO.OL,Xignite
2215,FOE.OL,Xignite
2216,GJF.OL,Xignite
2217,GOGL.OL,Xignite
2218,MOWI.OL,Xignite
2219,NHY.OL,Xignite
2220,NAS.OL,Xignite
2222,ORK.OL,Xignite
2223,PGS.OL,Xignite
